Classifier,Precision,Recall
Logistic Regression,0.1763,0.9481
Logistic Regression,0.1753,0.9416
Logistic Regression,0.1755,0.9416
Logistic Regression,0.1758,0.9416
Logistic Regression,0.176,0.9416
Logistic Regression,0.175,0.9351
Logistic Regression,0.1752,0.9351
Logistic Regression,0.1754,0.9351
Logistic Regression,0.1756,0.9351
Logistic Regression,0.1758,0.9351
Logistic Regression,0.176,0.9351
Logistic Regression,0.1763,0.9351
Logistic Regression,0.1765,0.9351
Logistic Regression,0.1767,0.9351
Logistic Regression,0.1769,0.9351
Logistic Regression,0.1771,0.9351
Logistic Regression,0.1773,0.9351
Logistic Regression,0.1776,0.9351
Logistic Regression,0.1778,0.9351
Logistic Regression,0.178,0.9351
Logistic Regression,0.1782,0.9351
Logistic Regression,0.1784,0.9351
Logistic Regression,0.1787,0.9351
Logistic Regression,0.1789,0.9351
Logistic Regression,0.1791,0.9351
Logistic Regression,0.1793,0.9351
Logistic Regression,0.1796,0.9351
Logistic Regression,0.1798,0.9351
Logistic Regression,0.18,0.9351
Logistic Regression,0.1802,0.9351
Logistic Regression,0.1805,0.9351
Logistic Regression,0.1807,0.9351
Logistic Regression,0.1809,0.9351
Logistic Regression,0.1811,0.9351
Logistic Regression,0.1814,0.9351
Logistic Regression,0.1816,0.9351
Logistic Regression,0.1818,0.9351
Logistic Regression,0.182,0.9351
Logistic Regression,0.1823,0.9351
Logistic Regression,0.1825,0.9351
Logistic Regression,0.1827,0.9351
Logistic Regression,0.1817,0.9286
Logistic Regression,0.1819,0.9286
Logistic Regression,0.1822,0.9286
Logistic Regression,0.1824,0.9286
Logistic Regression,0.1826,0.9286
Logistic Regression,0.1829,0.9286
Logistic Regression,0.1831,0.9286
Logistic Regression,0.1833,0.9286
Logistic Regression,0.1836,0.9286
Logistic Regression,0.1838,0.9286
Logistic Regression,0.184,0.9286
Logistic Regression,0.183,0.9221
Logistic Regression,0.1832,0.9221
Logistic Regression,0.1835,0.9221
Logistic Regression,0.1837,0.9221
Logistic Regression,0.1839,0.9221
Logistic Regression,0.1842,0.9221
Logistic Regression,0.1844,0.9221
Logistic Regression,0.1847,0.9221
Logistic Regression,0.1849,0.9221
Logistic Regression,0.1851,0.9221
Logistic Regression,0.1854,0.9221
Logistic Regression,0.1856,0.9221
Logistic Regression,0.1859,0.9221
Logistic Regression,0.1861,0.9221
Logistic Regression,0.1864,0.9221
Logistic Regression,0.1866,0.9221
Logistic Regression,0.1868,0.9221
Logistic Regression,0.1871,0.9221
Logistic Regression,0.1873,0.9221
Logistic Regression,0.1876,0.9221
Logistic Regression,0.1878,0.9221
Logistic Regression,0.1881,0.9221
Logistic Regression,0.1883,0.9221
Logistic Regression,0.1886,0.9221
Logistic Regression,0.1888,0.9221
Logistic Regression,0.1891,0.9221
Logistic Regression,0.1893,0.9221
Logistic Regression,0.1896,0.9221
Logistic Regression,0.1898,0.9221
Logistic Regression,0.1901,0.9221
Logistic Regression,0.1903,0.9221
Logistic Regression,0.1906,0.9221
Logistic Regression,0.1909,0.9221
Logistic Regression,0.1898,0.9156
Logistic Regression,0.19,0.9156
Logistic Regression,0.1903,0.9156
Logistic Regression,0.1905,0.9156
Logistic Regression,0.1908,0.9156
Logistic Regression,0.1911,0.9156
Logistic Regression,0.19,0.9091
Logistic Regression,0.1902,0.9091
Logistic Regression,0.1905,0.9091
Logistic Regression,0.1907,0.9091
Logistic Regression,0.191,0.9091
Logistic Regression,0.1913,0.9091
Logistic Regression,0.1915,0.9091
Logistic Regression,0.1918,0.9091
Logistic Regression,0.1907,0.9026
Logistic Regression,0.1909,0.9026
Logistic Regression,0.1912,0.9026
Logistic Regression,0.1901,0.8961
Logistic Regression,0.1903,0.8961
Logistic Regression,0.1906,0.8961
Logistic Regression,0.1909,0.8961
Logistic Regression,0.1911,0.8961
Logistic Regression,0.19,0.8896
Logistic Regression,0.1903,0.8896
Logistic Regression,0.1905,0.8896
Logistic Regression,0.1908,0.8896
Logistic Regression,0.1911,0.8896
Logistic Regression,0.1913,0.8896
Logistic Regression,0.1902,0.8831
Logistic Regression,0.1905,0.8831
Logistic Regression,0.1907,0.8831
Logistic Regression,0.1896,0.8766
Logistic Regression,0.1899,0.8766
Logistic Regression,0.1887,0.8701
Logistic Regression,0.189,0.8701
Logistic Regression,0.1879,0.8636
Logistic Regression,0.1881,0.8636
Logistic Regression,0.1884,0.8636
Logistic Regression,0.1887,0.8636
Logistic Regression,0.1889,0.8636
Logistic Regression,0.1892,0.8636
Logistic Regression,0.1895,0.8636
Logistic Regression,0.1897,0.8636
Logistic Regression,0.1886,0.8571
Logistic Regression,0.1888,0.8571
Logistic Regression,0.1891,0.8571
Logistic Regression,0.1894,0.8571
Logistic Regression,0.1897,0.8571
Logistic Regression,0.1899,0.8571
Logistic Regression,0.1902,0.8571
Logistic Regression,0.1905,0.8571
Logistic Regression,0.1908,0.8571
Logistic Regression,0.191,0.8571
Logistic Regression,0.1913,0.8571
Logistic Regression,0.1916,0.8571
Logistic Regression,0.1919,0.8571
Logistic Regression,0.1921,0.8571
Logistic Regression,0.1924,0.8571
Logistic Regression,0.1927,0.8571
Logistic Regression,0.193,0.8571
Logistic Regression,0.1933,0.8571
Logistic Regression,0.1935,0.8571
Logistic Regression,0.1938,0.8571
Logistic Regression,0.1941,0.8571
Logistic Regression,0.1944,0.8571
Logistic Regression,0.1947,0.8571
Logistic Regression,0.195,0.8571
Logistic Regression,0.1953,0.8571
Logistic Regression,0.1956,0.8571
Logistic Regression,0.1958,0.8571
Logistic Regression,0.1961,0.8571
Logistic Regression,0.1964,0.8571
Logistic Regression,0.1967,0.8571
Logistic Regression,0.1955,0.8506
Logistic Regression,0.1958,0.8506
Logistic Regression,0.1961,0.8506
Logistic Regression,0.1964,0.8506
Logistic Regression,0.1967,0.8506
Logistic Regression,0.197,0.8506
Logistic Regression,0.1973,0.8506
Logistic Regression,0.1976,0.8506
Logistic Regression,0.1979,0.8506
Logistic Regression,0.1982,0.8506
Logistic Regression,0.1985,0.8506
Logistic Regression,0.1988,0.8506
Logistic Regression,0.1991,0.8506
Logistic Regression,0.1994,0.8506
Logistic Regression,0.1997,0.8506
Logistic Regression,0.2,0.8506
Logistic Regression,0.2003,0.8506
Logistic Regression,0.2006,0.8506
Logistic Regression,0.2009,0.8506
Logistic Regression,0.2012,0.8506
Logistic Regression,0.2015,0.8506
Logistic Regression,0.2018,0.8506
Logistic Regression,0.2022,0.8506
Logistic Regression,0.2025,0.8506
Logistic Regression,0.2028,0.8506
Logistic Regression,0.2031,0.8506
Logistic Regression,0.2034,0.8506
Logistic Regression,0.2037,0.8506
Logistic Regression,0.204,0.8506
Logistic Regression,0.2044,0.8506
Logistic Regression,0.2031,0.8442
Logistic Regression,0.2034,0.8442
Logistic Regression,0.2038,0.8442
Logistic Regression,0.2041,0.8442
Logistic Regression,0.2044,0.8442
Logistic Regression,0.2047,0.8442
Logistic Regression,0.205,0.8442
Logistic Regression,0.2054,0.8442
Logistic Regression,0.2057,0.8442
Logistic Regression,0.206,0.8442
Logistic Regression,0.2063,0.8442
Logistic Regression,0.2067,0.8442
Logistic Regression,0.207,0.8442
Logistic Regression,0.2073,0.8442
Logistic Regression,0.2077,0.8442
Logistic Regression,0.208,0.8442
Logistic Regression,0.2083,0.8442
Logistic Regression,0.2087,0.8442
Logistic Regression,0.209,0.8442
Logistic Regression,0.2093,0.8442
Logistic Regression,0.2097,0.8442
Logistic Regression,0.21,0.8442
Logistic Regression,0.2104,0.8442
Logistic Regression,0.2107,0.8442
Logistic Regression,0.2094,0.8377
Logistic Regression,0.2098,0.8377
Logistic Regression,0.2101,0.8377
Logistic Regression,0.2104,0.8377
Logistic Regression,0.2108,0.8377
Logistic Regression,0.2095,0.8312
Logistic Regression,0.2098,0.8312
Logistic Regression,0.2102,0.8312
Logistic Regression,0.2105,0.8312
Logistic Regression,0.2109,0.8312
Logistic Regression,0.2112,0.8312
Logistic Regression,0.2116,0.8312
Logistic Regression,0.2119,0.8312
Logistic Regression,0.2123,0.8312
Logistic Regression,0.2126,0.8312
Logistic Regression,0.213,0.8312
Logistic Regression,0.2133,0.8312
Logistic Regression,0.2137,0.8312
Logistic Regression,0.214,0.8312
Logistic Regression,0.2144,0.8312
Logistic Regression,0.2148,0.8312
Logistic Regression,0.2151,0.8312
Logistic Regression,0.2155,0.8312
Logistic Regression,0.2159,0.8312
Logistic Regression,0.2162,0.8312
Logistic Regression,0.2166,0.8312
Logistic Regression,0.2169,0.8312
Logistic Regression,0.2173,0.8312
Logistic Regression,0.2177,0.8312
Logistic Regression,0.2164,0.8247
Logistic Regression,0.2167,0.8247
Logistic Regression,0.2171,0.8247
Logistic Regression,0.2175,0.8247
Logistic Regression,0.2178,0.8247
Logistic Regression,0.2182,0.8247
Logistic Regression,0.2186,0.8247
Logistic Regression,0.219,0.8247
Logistic Regression,0.2193,0.8247
Logistic Regression,0.218,0.8182
Logistic Regression,0.2184,0.8182
Logistic Regression,0.2188,0.8182
Logistic Regression,0.2191,0.8182
Logistic Regression,0.2195,0.8182
Logistic Regression,0.2199,0.8182
Logistic Regression,0.2185,0.8117
Logistic Regression,0.2189,0.8117
Logistic Regression,0.2193,0.8117
Logistic Regression,0.2197,0.8117
Logistic Regression,0.2201,0.8117
Logistic Regression,0.2205,0.8117
Logistic Regression,0.2191,0.8052
Logistic Regression,0.2195,0.8052
Logistic Regression,0.2199,0.8052
Logistic Regression,0.2202,0.8052
Logistic Regression,0.2206,0.8052
Logistic Regression,0.221,0.8052
Logistic Regression,0.2214,0.8052
Logistic Regression,0.2218,0.8052
